IP,性别,年龄段,学历,职业,收入,了解程度得分,驾驶水平,购无人驾驶车意愿,购车理由_减少疲惫感,购车理由_减少事故,购车理由_提高效率,购车理由_节能环保,购车理由_技术发达,不购车理由_安全问题,不购车理由_技术不成熟,不购车理由_质量不行,不购车理由_法规不完善,不购车理由_喜欢手动,是否尝试过,满意度,需加强方面,场景想象
116.162.134.231(湖南-长沙),女,18～24,本科,其他,2000元及以下,1,一般,愿意,同意,同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无人驾驶汽车，可能会引发一些交通事故
58.216.79.132(江苏-常州),女,18～24,本科,学生,2000元及以下,1,好,愿意,同意,同意,非常同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护,比如在高速公路上，无人汽车的普及也许会提高在驾驶秩序，但是如果出现事故可能会因为程序限制导致灵活度受限从而引发更大规模的问题
183.192.9.218(上海-上海),男,36～54,研究生及以上,信息技术,10001元-50000元,4,好,愿意,同意,非常同意,同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,更美好
144.0.15.235(山东-青岛),女,36～54,本科,制造,7501元-10000元,3,好,愿意,同意,非常同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护,无
39.144.154.250(江苏-常州),男,36～54,本科,制造,5001元-7500元,3,一般,愿意,一般,一般,一般,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,无
36.112.186.240(北京-北京),男,36～54,研究生及以上,建筑工程,10001元-50000元,2,非常好,非常愿意,非常不同意,不同意,一般,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,政策对汽车的支持力度┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,无
113.235.20.51(辽宁-大连),男,36～54,大专,其他,10001元-50000元,1,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),一般,一般,一般,一般,一般,否,(跳过),汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分,没有
222.218.157.52(广西-北海),男,36～54,本科,制造,7501元-10000元,1,一般,愿意,同意,同意,一般,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力,没有
182.88.134.8(广西-南宁),男,25～35,本科,信息技术,10001元-50000元,2,非常好,愿意,同意,非常同意,非常同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护,可能会出现技术漏铜
39.144.168.115(江西-南昌),女,25～35,本科,信息技术,50001元及以上,3,好,愿意,一般,同意,一般,同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,政策对汽车的支持力度┋对乘客的个人隐私保护,更加方便
117.132.47.71(山东-泰安),女,36～54,本科,医疗保健,10001元-50000元,2,好,愿意,同意,同意,同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,花王的面膜也可以
222.186.230.189(江苏-镇江),男,36～54,本科,信息技术,7501元-10000元,1,好,愿意,不同意,同意,同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分,立体交通
223.104.40.87(北京-北京),女,25～35,本科,制造,5001元-7500元,1,好,愿意,非常同意,不同意,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力,出行更方便
119.86.150.240(重庆-重庆),男,25～35,本科,信息技术,10001元-50000元,2,好,愿意,同意,不同意,一般,不同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,乘车价格变贵了，时间缩短了
175.190.115.247(辽宁-大连),女,36～54,本科,制造,5001元-7500元,1,一般,愿意,同意,非常同意,非常同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护,好
119.176.223.194(山东-临沂),女,54岁及以上,高中及以下,交通运输,2001元-5000元,1,一般,愿意,非常同意,一般,非常同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力,不同考驾照了，比较正面
183.229.58.10(重庆-重庆),女,36～54,高中及以下,制造,2001元-5000元,1,非常不好或无驾照,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,非常同意,同意,非常同意,一般,否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,工作机会丧失
36.138.169.149(北京-北京),女,25～35,本科,交通运输,5001元-7500元,1,一般,愿意,同意,不同意,同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),对乘客的个人隐私保护┋识别障碍与路况的能力,不知道
39.144.168.102(江西-南昌),女,18～24,大专,学生,2000元及以下,1,非常不好或无驾照,愿意,同意,非常同意,一般,不同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护┋智能化程度不足(如灵活加速/加塞)   ,减少了大量交通事故
61.141.154.184(广东-深圳),女,18～24,本科,制造,2001元-5000元,1,非常不好或无驾照,非常愿意,同意,一般,非常同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,出现打车更方便，但是可能会导致司机下岗
120.211.173.182(河北-衡水),男,36～54,研究生及以上,教育,7501元-10000元,1,好,愿意,非常同意,同意,非常同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,高效出行
220.200.98.47(海南-儋州),女,18～24,本科,学生,2000元及以下,1,一般,愿意,同意,一般,同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,堵车现象会减少吧
117.143.56.242(上海-上海),女,25～35,本科,教育,5001元-7500元,1,不好,愿意,不同意,不同意,同意,不同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,通勤便利
112.111.55.199(福建-福州),男,18～24,本科,学生,2001元-5000元,2,好,愿意,不同意,不同意,不同意,不同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,减少驾驶员导致事故发生
58.215.219.38(江苏-无锡),女,18～24,本科,学生,2000元及以下,1,一般,愿意,非常同意,非常同意,一般,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,马路上的车都在自动驾驶，人们可以不用自己操作驾驶，比较便捷，但是可能无人驾驶也存在一定的安全隐患
114.223.252.158(江苏-无锡),女,25～35,本科,制造,7501元-10000元,1,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,非常同意,一般,同意,非常同意,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋识别障碍与路况的能力,大量司机失业
114.214.166.200(安徽-合肥),女,25～35,本科,信息技术,10001元-50000元,4,好,愿意,非常同意,同意,同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,汽车生产管理的协同程度┋对乘客的个人隐私保护,气爽云闲。伊人有约上湖滩。白发相逢无限意，笑对冬寒。 宛在水中间。不染尘烟。蒹葭昂首向蓝天。花絮飘零终不悔，情系诗笺。
106.61.172.237(云南-昆明),女,18～24,本科,学生,2000元及以下,1,好,愿意,同意,不同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,，，，，，
27.128.49.60(河北-石家庄),男,25～35,本科,其他,5001元-7500元,2,好,愿意,非常同意,同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),事故发生的权责划分,我感觉很方便
123.232.8.66(山东-济南),男,36～54,研究生及以上,信息技术,10001元-50000元,3,非常好,非常愿意,非常同意,同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护┋识别障碍与路况的能力,无
39.129.5.35(云南-昆明),男,25～35,研究生及以上,学生,2001元-5000元,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,同意,一般,同意,一般,否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无
116.16.107.153(广东-清远),女,25～35,本科,建筑工程,7501元-10000元,2,一般,非常愿意,同意,一般,非常同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,政策对汽车的支持力度,fawef
223.160.139.199(河北-石家庄),男,18～24,本科,学生,2000元及以下,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,一般,非常同意,一般,否,(跳过),消费者的认知和接受度不高,。
223.104.33.87(安徽-合肥),男,36～54,本科,交通运输,7501元-10000元,3,一般,愿意,同意,同意,不同意,不同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,无
39.144.55.84(辽宁-大连),男,18～24,本科,学生,7501元-10000元,1,非常不好或无驾照,愿意,非常同意,同意,非常同意,一般,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋智能化程度不足(如灵活加速/加塞)   ,省力
120.229.35.168(广东-深圳),女,18～24,本科,交通运输,7501元-10000元,2,一般,愿意,同意,非常同意,同意,非常同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护,无
182.102.29.159(江西-九江),女,18～24,本科,学生,2000元及以下,1,一般,愿意,非常同意,同意,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋事故发生的权责划分┋智能化程度不足(如灵活加速/加塞)   ,不会担心打车遇到坏司机
218.62.138.64(云南-曲靖),女,36～54,本科,信息技术,7501元-10000元,3,一般,非常愿意,同意,同意,非常同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无
113.126.49.88(山东-济南),女,25～35,本科,制造,5001元-7500元,1,好,愿意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,不敢想象
120.197.165.81(广东-东莞),男,36～54,本科,制造,10001元-50000元,2,好,非常愿意,非常同意,同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,生活将会变得更便捷，安全，，但是会减少就业机会
180.137.104.133(广西-北海),男,36～54,本科,制造,10001元-50000元,4,好,愿意,同意,非常同意,一般,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋识别障碍与路况的能力,没有
113.120.117.175(山东-青岛),男,18～24,本科,学生,2000元及以下,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,同意,一般,同意,非常不同意,否,(跳过),汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,对于驾驶者的要求大大降低，交通状况可能会变得更好，但代驾等职业可能面临失业
117.152.220.12(湖北-武汉),男,25～35,本科,教育,7501元-10000元,2,非常好,非常愿意,一般,同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,政策对汽车的支持力度┋对乘客的个人隐私保护┋识别障碍与路况的能力,更方便了
180.98.7.238(江苏-南京),男,18～24,本科,学生,2000元及以下,1,一般,愿意,不同意,一般,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无人出租车变多
171.127.12.144(山西-大同),女,54岁及以上,高中及以下,建筑工程,5001元-7500元,1,一般,非常不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),一般,同意,一般,同意,不同意,否,(跳过),政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力,君
39.144.39.214(上海-上海),女,36～54,本科,教育,7501元-10000元,1,一般,愿意,不同意,一般,非常不同意,不同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,没
111.34.123.13(山东-滨州),女,54岁及以上,高中及以下,建筑工程,2000元及以下,2,非常好,愿意,非常不同意,非常同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,挺好的
124.126.21.74(北京-北京),男,25～35,本科,医疗保健,7501元-10000元,3,好,愿意,同意,同意,非常同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋汽车生产管理的协同程度,没有
210.51.27.7(上海-上海),女,25～35,本科,建筑工程,50001元及以上,2,好,愿意,非常不同意,同意,同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋汽车生产管理的协同程度┋事故发生的权责划分,减少汽车的拥有量
43.250.245.120(广西-南宁),女,18～24,本科,医疗保健,2000元及以下,3,好,愿意,不同意,不同意,一般,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),对乘客的个人隐私保护,无
222.92.126.117(江苏-苏州),女,18～24,本科,制造,5001元-7500元,1,好,非常愿意,同意,同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),汽车生产管理的协同程度,A
61.187.187.195(湖南-郴州),男,36～54,本科,建筑工程,2001元-5000元,2,一般,愿意,同意,一般,同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,不好说
183.226.247.76(重庆-重庆),女,36～54,本科,制造,7501元-10000元,2,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,非常同意,一般,一般,同意,是,一般,消费者的认知和接受度不高┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,没法描述
112.87.132.165(江苏-苏州),女,25～35,本科,建筑工程,7501元-10000元,5,非常好,非常愿意,非常同意,同意,非常同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋汽车生产管理的协同程度┋事故发生的权责划分,正面影响  出行更加方便，，创造新就业， 负面影响安全方面，安全责任难定，，会引发伦理问题
222.217.205.93(广西-梧州),男,25～35,本科,教育,5001元-7500元,2,一般,愿意,一般,不同意,非常不同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,汽车生产管理的协同程度┋对乘客的个人隐私保护,遇到暴风雨可能会出现意外
113.101.151.226(广东-江门),女,18～24,大专,建筑工程,5001元-7500元,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),不同意,一般,一般,一般,一般,否,(跳过),汽车生产管理的协同程度┋事故发生的权责划分,没有
123.170.25.54(山东-东营),女,36～54,本科,制造,7501元-10000元,3,好,非常愿意,不同意,非常同意,非常同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,安全高效出行
223.104.67.20(广东-广州),女,25～35,本科,信息技术,10001元-50000元,3,非常好,非常愿意,非常同意,同意,同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,非常满意,消费者的认知和接受度不高┋汽车生产管理的协同程度,提升
